skill_component_id,skill_component_alias,time_added
00134a2aa6a73ac35321c7791345160b1555139af1657ae7f1c55db741e29bca,select supplier sources,2022-08-03 14:45:10
00134a2aa6a73ac35321c7791345160b1555139af1657ae7f1c55db741e29bca,sourcing for supplier,2022-08-03 14:45:10
00134a2aa6a73ac35321c7791345160b1555139af1657ae7f1c55db741e29bca,supplier selection,2022-08-03 14:45:10
00134a2aa6a73ac35321c7791345160b1555139af1657ae7f1c55db741e29bca,supplier sourcing,2022-08-03 14:45:10
00473f10152d359f643379ae5e78ab06bd966d65496a9916c043567af1f54236,heavy lifting machinery operation,2022-12-06 18:43:52
004dac9735bdfc891fdd827b9cb410d888c7e5949d3c1b42cdb53f85ca40d7ce,engineering trains,2022-08-03 14:45:10
005cee3430de60bf7425425929c823714e0645eb0d474db0733866506a10a6ad,javafx,2022-08-03 14:45:10
006b3a91c6cb72f11d885f243b879acfa3e18991bc2157d971be100858f85bb4,unreal engine,2022-08-03 14:45:10
007026b443489155e7b30d76dd29a5b800e72b6df3cdd4f7f4157029b263154b,ground operations,2022-08-03 14:45:10
00807fef017bc38df694cd149375f295875eaa5ed1dd644305e757abd40eb880,measurement of building and construction works,2022-12-06 18:43:52
008bba0033401e085ea9831f6f409b0eff90aa0c00e1660a09969afbf5ac6381,security education and awareness,2022-12-06 18:43:52
00a0a18dc4cf4ae8cb725ad6073eee8680c94c92b4f5831d9916b6c13eaca270,port equipment,2022-08-03 14:45:10
00a0a18dc4cf4ae8cb725ad6073eee8680c94c92b4f5831d9916b6c13eaca270,port tool,2022-08-03 14:45:10
00af4b60f337acff6ffeb2d9172a643eb8a5a715e489c9be4d33048b9e03f549,travis ci,2022-08-03 14:45:10
00bf201dbd9fde4c39ea97edff189863992b7befe1980d678bee28a0b400c815,cleanliness and contamination control,2022-12-06 18:43:52
00c5510d076dc4cc6c604f76a8c7fbd44d03519ce9e6f1761aae64bfac7008a7,"health, hygiene and nutrition for children",2022-12-06 18:43:52
00d1f380c80aea33cec3774cddbc686ad5041607afea58ff1146fd6bff729756,production budget management,2022-12-05 13:16:23
00e3e584e242f926ff6b26bdd0cd26aac15b7ae023a7306c81a7d5708ce8459a,violin,2022-08-03 14:45:10
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,algoritma mesin vektor terdukung,2022-08-03 14:45:10
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,mesin vektor pendukung,2022-08-03 14:45:10
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,support vector machine,2022-08-03 14:45:10
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,support vector machines,2022-08-03 14:45:10
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,svm,2022-08-03 14:45:10
01012a688a8e027b77ff64f04798d1ca4fb4b43bf77a9771e864d4e37a3489b6,advanced processing,2022-08-03 14:45:10
0121d096a1741bff07064300781a0c8a2ef53ae55a588404e33ce6a7cd45011d,metallic material characterisation,2022-12-06 18:43:52
01383a5a2972965776fe262dee1a6ef4a3383009e00b752770d8ade48f6b8b01,heat treatment,2022-08-03 14:45:10
01395b5e9723edc540731c2daeefdbb0508eef8b61dd7522ffe600173460c2e9,chemstation,2022-08-03 14:45:10
0143216a6e24a367d575bc2e4003241cd0c21f51980e73006bb76ec02e134326,perform fitting works in workshop,2022-12-06 18:43:52
014491053bd5f8fc3bd6d4a242be2e3dbdbbf3d79710778f25580ce70f781347,mas 610 reporting,2022-08-03 14:45:10
014c28f75e18fec126778dc0046122ddf6ff88877f725506e4141e4d4980d219,revenue management,2022-08-03 14:45:10
018bb207e5cea3036e36872e61a3a9d432d23b4a199661e7494f0f0607e57951,junit,2022-08-03 14:45:10
0192a15dea047ba044e48057260cff4e8154cd8cb04b913a0909bd923883a3b9,stabilised camera,2022-08-03 14:45:10
0192a15dea047ba044e48057260cff4e8154cd8cb04b913a0909bd923883a3b9,stabilized camera,2022-08-03 14:45:10
01f2184568092d8a854be2706fa59118b03664b2fb494ed67c7cf77ac8b7147d,service planning and implementation,2022-12-06 18:43:52
020b5270231b67bfc6b6e664843b77e1ec2ffd3f8a56c851463e2c67210d613a,audiometric screening,2022-08-03 14:45:10
020b5270231b67bfc6b6e664843b77e1ec2ffd3f8a56c851463e2c67210d613a,audiometric test,2022-08-03 14:45:10
020dbf16b1604b5375ed0684527ffb05ac59bf6498e06ffdbc5bb0f899f35389,chemical reagent management,2022-12-06 18:43:52
