skill_id,skill_title,skill_source,duplicated,dup_parent,dup_parent_id,time_added
00134a2aa6a73ac35321c7791345160b1555139af1657ae7f1c55db741e29bca,supplier sourcing,SFw TSC,0,NA,NA,3/8/2022 14:43
00473f10152d359f643379ae5e78ab06bd966d65496a9916c043567af1f54236,heavy lifting machinery operation,SFw TSC,0,NA,NA,3/8/2022 14:43
005cee3430de60bf7425425929c823714e0645eb0d474db0733866506a10a6ad,JavaFX,Apps and Tools,0,NA,NA,3/8/2022 14:43
00656367e00c31134f854ba7e60a928851242e04c688280f80025bef1164121a,perform rigging of suspended scaffold,SFw TSC,0,NA,NA,3/8/2022 14:43
006b3a91c6cb72f11d885f243b879acfa3e18991bc2157d971be100858f85bb4,Unreal Engine,Apps and Tools,0,NA,NA,3/8/2022 14:43
00807fef017bc38df694cd149375f295875eaa5ed1dd644305e757abd40eb880,measurement of building and construction works,SFw TSC,0,NA,NA,3/8/2022 14:43
008bba0033401e085ea9831f6f409b0eff90aa0c00e1660a09969afbf5ac6381,security education and awareness,SFw TSC,0,NA,NA,3/8/2022 14:43
00af4b60f337acff6ffeb2d9172a643eb8a5a715e489c9be4d33048b9e03f549,Travis CI,Apps and Tools,0,NA,NA,3/8/2022 14:43
00bf201dbd9fde4c39ea97edff189863992b7befe1980d678bee28a0b400c815,cleanliness and contamination control,SFw TSC,0,NA,NA,3/8/2022 14:43
00c5510d076dc4cc6c604f76a8c7fbd44d03519ce9e6f1761aae64bfac7008a7,"health, hygiene and nutrition for children",SFw TSC,0,NA,NA,3/8/2022 14:43
00d1f380c80aea33cec3774cddbc686ad5041607afea58ff1146fd6bff729756,production budget management,SFw TSC,0,NA,NA,3/8/2022 14:43
00e3e584e242f926ff6b26bdd0cd26aac15b7ae023a7306c81a7d5708ce8459a,Violin,Apps and Tools,0,NA,NA,3/8/2022 14:43
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,Support Vector Machine Algorithm,Apps and Tools,0,NA,NA,3/8/2022 14:43
00f7228c87827fcda9a6b28ec848b379d4c011932b668ac4e3e00d5a19c9f055,"ethics, values and legislation",SFw TSC,1,ethical and professional integrity,1aa52b5b13fe1afbaaa48bd1cbeb21522651e833267a5f5d38220ecdec26d9cf,3/8/2022 14:43
01012a688a8e027b77ff64f04798d1ca4fb4b43bf77a9771e864d4e37a3489b6,advanced processing technology,SFw TSC,0,NA,NA,3/8/2022 14:43
0110ef2aadf4c1ad73ed8a9220d66d3be51147f6b1f6bb26ac59b484abb61727,workplace safety and health system management,SFw TSC,0,NA,NA,3/8/2022 14:43
0121d096a1741bff07064300781a0c8a2ef53ae55a588404e33ce6a7cd45011d,metallic material characterisation,SFw TSC,0,NA,NA,3/8/2022 14:43
01395b5e9723edc540731c2daeefdbb0508eef8b61dd7522ffe600173460c2e9,Chemstation,Apps and Tools,0,NA,NA,3/8/2022 14:43
0143216a6e24a367d575bc2e4003241cd0c21f51980e73006bb76ec02e134326,perform fitting works in workshop,SFw TSC,0,NA,NA,3/8/2022 14:43
014491053bd5f8fc3bd6d4a242be2e3dbdbbf3d79710778f25580ce70f781347,MAS 610 Reporting,Apps and Tools,0,NA,NA,3/8/2022 14:43
018bb207e5cea3036e36872e61a3a9d432d23b4a199661e7494f0f0607e57951,JUnit,Apps and Tools,0,NA,NA,3/8/2022 14:43
01f2184568092d8a854be2706fa59118b03664b2fb494ed67c7cf77ac8b7147d,service planning and implementation,SFw TSC,0,NA,NA,3/8/2022 14:43
020dbf16b1604b5375ed0684527ffb05ac59bf6498e06ffdbc5bb0f899f35389,chemical reagent management,SFw TSC,0,NA,NA,3/8/2022 14:43
0215768d99677d9bfa4d4d8d26372237c1d717e047740bbf647641a7d5ba1046,Plaxis 2D/3D,Apps and Tools,0,NA,NA,3/8/2022 14:43
0234f10eb860ac51cef8626d64c37eac0e3bd9e3887529850a789da13b892588,Tonometry,Apps and Tools,0,NA,NA,3/8/2022 14:43
023e32c99aaa16d48a4d452b3f87943b8d995a3ed4c2d1b719452a36ab571d59,feedstock and product transfer operations management,SFw TSC,0,NA,NA,3/8/2022 14:43
025301ce90efbd9dd4722cb9b8286916f11f7fbfda4d31c7029e5c29583284b7,engineering drawing interpretation and management,SFw TSC,0,NA,NA,3/8/2022 14:43
02632b8c062c2b2121b8511739c2e8379b165558c3a1766ad894115610cd822e,engineering standards audit and assessment,SFw TSC,0,NA,NA,3/8/2022 14:43
026c59a790df093d8bac65127545962afae6051cc55bde440e6410707dc8c8a7,AS9100,Apps and Tools,0,NA,NA,3/8/2022 14:43
0272c0806164b589ac546688a170097835e18cfe80acb4aa486f19ae5c6b28a7,ship repair management,SFw TSC,1,ship maintenance and repair (dock),c9810b46561ad3dde222037f675bd95a700332fd1336c13575aec5db3bb320f7,3/8/2022 14:43
0273a9089ac4c4570338b1f7204cac129f408a93e955341a8b1e99c0c423a916,support service to children and youths,SFw TSC,0,NA,NA,3/8/2022 14:43
0278ba5959133f0fd5409a2cd2aee7c2af265bbcaa5c6d82acaa1767dc7f40ac,"health, safety and environment procedures implementation",SFw TSC,0,NA,NA,3/8/2022 14:43
027fbbd632a73265ff3b531c072fb447578dafb5f18f651d1734fa216ea8e871,geotechnical engineering management,SFw TSC,0,NA,NA,3/8/2022 14:43
02a847b3605694010de06d4842283cab1a479dcbcf1f34a769eab4123b93d9b6,human resource systems management,SFw TSC,0,NA,NA,3/8/2022 14:43
02bd175f329720378ce83dd56a1b6b1f5291a60182d6c54b5e0d1e8d248a267a,JSON,Apps and Tools,0,NA,NA,3/8/2022 14:43
02c6bb0bff5f9bb6769b07a82354ff6b7a6557016220cb512f8deb9ffb347af9,Apache Ant,Apps and Tools,0,NA,NA,3/8/2022 14:43
02e57c7dea9d0ff98f0523cca113dd5a0e393e073c14b2e3a86f53b7a7d662be,fire prevention and firefighting,SFw TSC,0,NA,NA,3/8/2022 14:43
02f6c5b31083679d44f545f9d885bbcbefbadaa3b89346c5c493e643b7bfa2d6,Amazon Kinesis,Apps and Tools,0,NA,NA,3/8/2022 14:43
0305d20ed6ac2d1a970c3f05978dd995148f1896d6583187cedf8272d5dc940d,propeller principles application,SFw TSC,0,NA,NA,3/8/2022 14:43
033716f6602274136ace288291d45ffe98ae70c5f3b92e1de09d5ca8f3d4e8f1,operational technology security design,SFw TSC,0,NA,NA,3/8/2022 14:43
0358a727447835c29bb0d944bb6fc8459cecbde550f8cd89a6823014b8205cc3,social service (early intervention) programme development and implementation,SFw TSC,0,NA,NA,3/8/2022 14:43
036a6b7f63584af698bd831e75a631c130b6b24ce30b6aeed23c026634257223,PrestoDB,Apps and Tools,0,NA,NA,3/8/2022 14:43
037749a05083a33b5c3194fc46a9ab782664372158f86ca43d5d091645d9393f,Apache Subversion (SVN),Apps and Tools,0,NA,NA,3/8/2022 14:43
037817874f25be11f9713804a7f7c027079bc5cd2776377a7f0111c2a17cf33f,tree climbing and aerial rescues,SFw TSC,0,NA,NA,3/8/2022 14:43
0378e8062b2e8372fef803b9e11a05a7691ce6c90ead743d43608ed533b20c9b,mechanical rotating equipment engineering management,SFw TSC,0,NA,NA,3/8/2022 14:43
037c09c9fae5d1551fd6384010e321603ff430ce792f691adf745613a3f91002,Couchbase,Apps and Tools,0,NA,NA,3/8/2022 14:43
039137323cb2f41ab349d6db5b76d673a6c77ad57b4eeee2fed0a9e806431b6b,product design and development,SFw TSC,0,NA,NA,3/8/2022 14:43
039abb33833d2e6b7f40ccab27137c53240d3c9c3ca05766b08929cb6e15ddf2,Autodesk Revit,Apps and Tools,0,NA,NA,3/8/2022 14:43
039c97675360072b8fb5c88a83db0d04e31315e71c21eb278686946fea57ee2b,navigation and position determination,SFw TSC,0,NA,NA,3/8/2022 14:43
03be4f85fe43317931241ffcd84b1c529e197c2cc6729920a445da239d4e21ed,Apache Flink,Apps and Tools,0,NA,NA,3/8/2022 14:43
03e8d9a4e0aa86da5ebcf87a05d1b02d65de133462161a285a55b7c8dc0ca994,Microsoft Azure Proactive,Apps and Tools,0,NA,NA,3/8/2022 14:43
03f5ea111239eb864aa1cf6f696d77af2b1ff9b151034e30f27a3a06bdd0ecf4,programme management,SFw TSC,0,NA,NA,3/8/2022 14:43
03f824db9a1f601e1e4d5c827e11b7c1847b70937bf2facf6c78cbadfe9be654,soil and media assessment and remediation,SFw TSC,0,NA,NA,3/8/2022 14:43
041cf0b653af81b057c04da90964e14ac595d6f606860c9e21da827d189c13df,low voltage switchboard maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
04219a23329000ee15a4fbe3f23435d4d2f0c8735af4ed41e8e441ad44bad535,sales management,SFw TSC,0,NA,NA,3/8/2022 14:43
042e9398f2cc89025595d077503121a4a5a41d153d6863caa4c7332c8f1029f6,DigitalOcean,Apps and Tools,0,NA,NA,3/8/2022 14:43
0434f6d54ab0f0167e2b35cdad05119ebd79d9a949dc9162a5cbcaa9259e0d7e,health promotion,SFw TSC,0,NA,NA,3/8/2022 14:43
04373c7d9b5a8df43d3e0d188ff43152ab2b3b9a6e9c9a38304af3ccbc9940fd,nacelle mechanical structures maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
044702fd0ff4efe9693b1037a0b2e1d312a218d1e036cfa278367769e5431657,airfield specialised systems maintenance and design,SFw TSC,0,NA,NA,3/8/2022 14:43
0494f6afda3f44f219d766e96857410ac3d8e2756e5211801775c47695491e6b,x86 Instruction Set,Apps and Tools,0,NA,NA,3/8/2022 14:43
0498de97d66872ea9ee31eaac8d4fac0f19643d8d5ee77326144576cc6d1461d,ship seaworthiness and pollution prevention,SFw TSC,0,NA,NA,3/8/2022 14:43
04ca1b233344a66c112bbcc2d35c022d5b0bd17557888b54c41043d501cb164b,aircraft fuel and engine systems maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
