skill_id,skill_title,skill_type,skill_description_final
73d13a810ad7b138fc00eb6c8f82a44d4eab1eeafb059f643eb551de69e4db70,Supplier Sourcing,SFw TSC,"Supplier Sourcing: Strategic supplier sourcing and contract management. Gathering and collating supplier information, reviewing and evaluating tender documents, formulating strategies and plans, assessing product needs, complying with regulations and standards, and identifying new suppliers."
312a071936f1f4daa47f10cff4554242e49086f5e54967bc99de101b111bc76e,Heavy Lifting Machinery Operation,SFw TSC,Heavy Lifting Machinery Operation: Operate heavy machinery and support its deployment for maintenance activities. Monitor and adjust machinery to ensure safe and efficient operation. Troubleshoot and resolve any issues that arise.
005cee3430de60bf7425425929c823714e0645eb0d474db0733866506a10a6ad,JavaFX,Apps and Tools,JavaFX is a software platform for creating and delivering rich internet applications that can run across a wide variety of devices. It is built on the Java programming language and provides a powerful set of graphics and media APIs for developers to create rich user experiences.
3c36ebbdad799fcee65e800dfbc0dcec3a3c5aaa5b723c10042fe515845af969,Perform Rigging of Suspended Scaffold,SFw TSC,Perform Rigging of Suspended Scaffold: This skill involves the ability to safely and effectively perform suspended scaffold activities in a construction environment. Learners will gain knowledge and experience in the use of appropriate equipment and techniques to complete these activities.
006b3a91c6cb72f11d885f243b879acfa3e18991bc2157d971be100858f85bb4,Unreal Engine,Apps and Tools,"Unreal Engine is a powerful game development tool used to create stunning visuals and immersive experiences. It offers a comprehensive suite of tools for designing, building, and deploying interactive 3D content. With Unreal Engine, developers can create high-quality games and interactive experiences for a variety of platforms."
42ca619965efe0f10455097689f30aca84a654c2b1bf2f8ae1a146ac12f575e3,Measurement of Building and Construction Works,SFw TSC,"Measurement of Building and Construction Works: Analyse and evaluate data to prepare cost estimations. Utilize measurement skills and methods to measure drawings, models and dimensions. Monitor accuracy of values and information in measurement reports to identify opportunities for improvement."
79f65a3ef0790e81cd7434e5954a9067f8e28d553d721456bc859b93abfa330c,Security Education and Awareness,SFw TSC,"Security Education and Awareness: Develop and deliver security education and awareness programmes to ensure employee adoption and adherence to security policies and standards. Create communication strategies and training materials, and manage delivery of security activities and programmes. Establish strategic alliances to raise security awareness and align security programmes with business priorities. Determine security knowledge requirements and lead implementation of large-scale security education and awareness programmes."
00af4b60f337acff6ffeb2d9172a643eb8a5a715e489c9be4d33048b9e03f549,Travis CI,Apps and Tools,"Travis CI is a continuous integration and delivery platform that helps developers test, build, and deploy their applications. It automates the process of building, testing, and deploying software, allowing developers to focus on writing code."
2e5dac31aeb9b5397bcc03062f009952f064c10f9d147899bdf49e67f8e1531b,Cleanliness and Contamination Control,SFw TSC,"Cleanliness and Contamination Control: Maintaining cleanliness and controlling contaminants in a manufacturing environment. Developing and implementing cleaning plans, assessing proposed solutions, and evaluating cleaning processes to ensure cleanliness requirements are met. Utilizing manual and automatic cleaning technology to manage contamination risk."
9ffa3a489083f722d8b450b83b908a2bb0ba3686624bd9f02495d06e5725a260,"Health, Hygiene and Nutrition for Children",SFw TSC,"Health, Hygiene and Nutrition for Children: Develop and implement health, hygiene and nutrition standards and procedures to support the diverse needs of children, and review for improvements."
337301a5a4b162c66e23e192852ba8af4996c60bfc4fab4ffb18157504a827bd,Production Budget Management,SFw TSC,"Production Budget Management: Develop and manage production budgets, financial monitoring and control systems, and optimise expenses to ensure adherence to budgets. Oversee teams and communicate with stakeholders on budget-related issues."
,,Apps and Tools,
00e6598edd14c4badcafd2a5daedaad20a3feda90afd67e8f69a766422d21f9b,Support Vector Machine Algorithm,Apps and Tools,"Support Vector Machine (SVM) is a machine learning algorithm used for classification and regression tasks. It finds an optimal hyperplane to separate data into different classes, maximizing the margin between them."
